site_no,obstype,x,y
Outlet_downstream-flow,downstream-flow,113434.8,395629
Outlet_depth,depth,113434.8,395629
Outlet_stage,stage,113434.8,395629
Outlet_ext-inflow,ext-inflow,113434.8,395629
Outlet_inflow,inflow,113434.8,395629
Outlet_from-mvr,from-mvr,113434.8,395629
Outlet_rainfall,rainfall,113434.8,395629
Outlet_runoff,runoff,113434.8,395629
Outlet_sfr,sfr,113434.8,395629
Outlet_evaporation,evaporation,113434.8,395629
Outlet_outflow,outflow,113434.8,395629
Outlet_ext-outflow,ext-outflow,113434.8,395629
Outlet_to-mvr,to-mvr,113434.8,395629
Outlet_upstream-flow,upstream-flow,113434.8,395629
Outlet_downstream-flow,downstream-flow,113434.8,395629
Outlet_depth,depth,113434.8,395629
Outlet_wet-perimeter,wet-perimeter,113434.8,395629
Outlet_wet-area,wet-area,113434.8,395629
Outlet_wet-width,wet-width,113434.8,395629
Outlet_1UStr_downstream-flow,downstream-flow,113462.5,395637.5
Outlet_1UStr_depth,depth,113462.5,395637.5
Outlet_OBS_Pnt_downstream-flow,downstream-flow,114213.98,394951.19
Outlet_OBS_Pnt_depth,depth,114213.98,394951.19
Main_stream_1_downstream-flow,downstream-flow,116162.5,393087.5
Main_stream_1_depth,depth,116162.5,393087.5
Main_stream_2_downstream-flow,downstream-flow,116212.5,393087.5
Main_stream_2_depth,depth,116212.5,393087.5
Main_stream_3_downstream-flow,downstream-flow,116862.5,393212.5
Main_stream_3_depth,depth,116862.5,393212.5
Main_stream_4_downstream-flow,downstream-flow,117012.5,393262.5
Main_stream_4_depth,depth,117012.5,393262.5
Main_stream_5_downstream-flow,downstream-flow,117012.5,393287.5
Main_stream_5_depth,depth,117012.5,393287.5
1ry_upstream_downstream-flow,downstream-flow,120387.5,392937.5
1ry_upstream_depth,depth,120387.5,392937.5
1ry_and_3ry_upstream_downstream-flow,downstream-flow,120862.5,392662.5
1ry_and_3ry_upstream_depth,depth,120862.5,392662.5
3ry_upstream_downstream-flow,downstream-flow,117162.5,389562.5
3ry_upstream_depth,depth,117162.5,389562.5
